msgPrefix	npes	pts_per_core	eleOrder	sort(min)	sort(mean)	sort(max)	constr(min)	constr(mean)	constr(max)	bal(min)	bal(mean)	bal(max)	adaptive_oda(min)	adaptive_oda(mean)	adaptive_oda(max)	ghostexchange(min)	ghostexchange(mean)	ghostexchange(max)	topdown(min)	topdown(mean)	topdown(max)	bottomup(min)	bottomup(mean)	bottomup(max)	treeinterior(min)	treeinterior(mean)	treeinterior(max)	elemental(min)	elemental(mean)	elemental(max)	
weak	256	1024	1	0.00281487	0.00311622	0.00605223	0.00616045	0.00927924	0.00955515	0.016159	0.0162108	0.0165425	0.0634968	0.0635595	0.063741	0.000174582	0.000442628	0.00175873	6.37207e-07	8.12175e-07	8.72821e-07	8.66129e-08	1.12188e-07	1.25957e-07	3.16394e-05	3.8395e-05	3.96243e-05	1.7536e-06	2.12778e-06	2.1954e-06	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
msgPrefix	npes	pts_per_core	eleOrder	sort(min)	sort(mean)	sort(max)	constr(min)	constr(mean)	constr(max)	bal(min)	bal(mean)	bal(max)	adaptive_oda(min)	adaptive_oda(mean)	adaptive_oda(max)	ghostexchange(min)	ghostexchange(mean)	ghostexchange(max)	topdown(min)	topdown(mean)	topdown(max)	bottomup(min)	bottomup(mean)	bottomup(max)	treeinterior(min)	treeinterior(mean)	treeinterior(max)	elemental(min)	elemental(mean)	elemental(max)	
weak	1	1024	2	0.000348544	0.000348544	0.000348544	0.000778389	0.000778389	0.000778389	0.0223311	0.0223311	0.0223311	1.83172	1.83172	1.83172	0	0	0	3.47157e-06	3.47157e-06	3.47157e-06	3.48204e-07	3.48204e-07	3.48204e-07	0.000109402	0.000109402	0.000109402	6.91242e-06	6.91242e-06	6.91242e-06	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
msgPrefix	npes	pts_per_core	eleOrder	sort(min)	sort(mean)	sort(max)	constr(min)	constr(mean)	constr(max)	bal(min)	bal(mean)	bal(max)	adaptive_oda(min)	adaptive_oda(mean)	adaptive_oda(max)	ghostexchange(min)	ghostexchange(mean)	ghostexchange(max)	topdown(min)	topdown(mean)	topdown(max)	bottomup(min)	bottomup(mean)	bottomup(max)	treeinterior(min)	treeinterior(mean)	treeinterior(max)	elemental(min)	elemental(mean)	elemental(max)	
