matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,max_depth,mesh,mesh_family,scale_x,scale_y,solver,unknowns
20,4.954230424882888e-14,,20,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
21,1.224537882601082e-14,,21,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
22,3.622387536918786e-15,,22,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
0,0.385221891082618,,0,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
1,1.601947530874104,,1,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
2,0.15776170509728826,,2,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
3,0.023304457334339758,,3,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
4,0.007506694820273443,,4,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
5,0.0012447695116392509,,5,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
6,0.0004220614220203435,,6,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
7,9.345226923705363e-05,,7,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
8,2.5685806551048817e-05,,8,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
9,5.040241460545373e-06,,9,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
10,1.38864762977123e-06,,10,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
11,3.5048340576506537e-07,,11,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
12,9.479722818622517e-08,,12,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
13,1.7675899616399342e-08,,13,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
14,4.4494695566827986e-09,,14,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
15,1.1596994317777633e-09,,15,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
16,2.506176635675679e-10,,16,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
17,6.785291631806282e-11,,17,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
18,2.0497274913910978e-11,,18,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
19,5.0100122221144075e-12,,19,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
20,1.2386487754414924e-12,,20,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
