matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
7,7.860681571452169e-10,3.760029610880962e-08,7,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
8,9.18480333560578e-11,3.9867468867969616e-09,8,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
9,1.2362989874354112e-11,4.4767247377754294e-10,9,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
10,9.647408499673204e-13,4.910203771437884e-11,10,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
11,1.747051909793206e-13,8.475660017420932e-12,11,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
12,2.2581888304174647e-14,9.706995282960296e-13,12,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
13,3.0750413983424716e-15,1.1749408033097596e-13,13,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
14,3.108614012651632e-16,1.2569660350803641e-14,14,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
15,3.748004916747139e-17,1.2199561347635485e-15,15,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
16,4.066001405081096e-18,1.5959113445069445e-16,16,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-1,136256,0.5,0.5,0.5,7,adaptive(1.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,121953
0,0.0059887566405615374,0.32017153396327264,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
1,0.001640955921888465,0.034600268670237716,1,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
2,0.0001311981903543858,0.00321046477278112,2,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
3,1.2426576882435897e-05,0.00033713720997298566,3,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
4,1.092512780423106e-06,4.458128406408835e-05,4,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
5,1.7691982627907674e-07,4.622715837288339e-06,5,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
6,1.81101129285512e-08,4.1309493827316375e-07,6,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
7,5.700614758310723e-10,2.9764535316490922e-08,7,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
8,9.544909563288935e-11,2.5772281375930887e-09,8,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
9,1.4814694194176268e-11,4.266407421561863e-10,9,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
10,1.6035911203190454e-12,5.3971671828234645e-11,10,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
11,1.440934452461897e-13,5.29936443362347e-12,11,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
12,8.698752937624725e-15,4.424358947190645e-13,12,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
13,1.7445189522506103e-15,5.432666501876242e-14,13,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
14,1.8100224418614445e-16,6.426586355269283e-15,14,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
15,2.437043439992205e-17,6.93916773336409e-16,15,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=2.0e-1,67264,0.5,0.5,0.5,6,adaptive(2.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,59441
0,0.015033350870441085,0.6005838918250588,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
1,0.00224867133335838,0.028463222209802082,1,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
2,3.98557467420459e-05,0.0007191204329614621,2,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
3,3.297819465094088e-06,6.524616486260708e-05,3,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
4,5.571431297756109e-07,6.546894623055531e-06,4,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
5,1.3698806416248104e-08,3.7505186220953096e-07,5,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
6,7.700670109719183e-10,2.4903567962907074e-08,6,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
7,7.113039079073268e-11,3.0782077875762286e-09,7,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
8,1.4120861885200358e-11,2.6716753686108157e-10,8,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
9,7.857410922922164e-13,1.695732676987642e-11,9,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
10,4.6789972118738814e-14,1.180876110159432e-12,10,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
11,4.3064157012351805e-15,1.1426187425805207e-13,11,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
12,4.784218155824366e-16,9.662366926840653e-15,12,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
13,3.812059477882612e-17,9.91452847713064e-16,13,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_gmg,12769
0,0.03753838193637576,0.9629646602073295,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
1,0.00392873773769296,0.09790646294716082,1,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
2,0.00022221969911089684,0.006318556707964274,2,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
3,9.747384868692959e-06,0.0002216595340569911,3,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
4,6.286165848689599e-07,1.774407501648591e-05,4,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
5,5.964696489654068e-08,1.4949660155094507e-06,5,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
6,6.308277438430889e-09,1.2192993228431727e-07,6,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
7,4.137390200812205e-10,7.343604368884796e-09,7,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_hybrid_mg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_hybrid_mg,6005
